Position, Company, Location, URL 
full details of DLT & Web 3 Engineer- Climate Solutions, Open Earth Foundation, Remote, /rc/clk?jk=2948ef99d47e821f&fccid=1d06874dd927e44b&vjs=3 
full details of Lead Frontend Engineer, GIANT Protocol, Remote in San Francisco  CA, /rc/clk?jk=bededfeb609d79a2&fccid=dd616958bd9ddc12&vjs=3 
full details of VP of Engineering - Crypto, Republic, Remote, /rc/clk?jk=a7df98a28bf829f6&fccid=f4c945265992c67f&vjs=3 
full details of Sr. Product Manager  Crypto Payments, Visa, Hybrid remote in Palo Alto  CA, /rc/clk?jk=6eb4d2171a88b197&fccid=a3f737e511d9fc8c&vjs=3 
full details of Senior Software Engineer  NFT Marketplace (US REMOTE), GameStop, Remote in Boston  MA 02110, /rc/clk?jk=5fa0032b150e09f3&fccid=6d7ce0d6430d81c2&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q26fgjbOdOq0dhP_RWiufGuJS8ukndcghk-DzxVzMuv3b5kbkdb7Ade2w698p86JopwBR_2yX0izEsD8xmakmUMFAq1kpwi8-60ONr0wONlRWiGMpk4tp49INBwvmqAU9Ba4YQ3PAPpCiChQx4zDCul8G7VJUvIg27rBslhdmR3vWbcDMJiSenQeFqfROrYtbtilqxxm_zuNOXAG640gLUH7J0PQIOKHa1Vrj2PZt_Zcg57NOUWDn5W0i1uYrN7O0l0BV9w3OZOL7Mm-mrMFmFrMc6KT3OsdQsRCnhI5KMgx8=&xkcb=SoC1-_M3ZhMKJFAJWD0IbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Full Stack Developer, Job Protocol, Remote in New York  NY, /company/Job-Protocol/jobs/Full-Stack-Developer-6a557b19326dd3e9?fccid=0ac0288fd2cfc747&vjs=3 
full details of Web3 / Blockchain Engineer (Remote), Metatheory, Remote in California, /rc/clk?jk=ecbac551ef0e95d0&fccid=5f63587b90acb983&vjs=3 
full details of Blockchain Engineer, Protochain Research, Remote, /rc/clk?jk=d837747f65c21dbd&fccid=dd616958bd9ddc12&vjs=3 
full details of Contract Software Engineer (Remote), Promptworks, Remote, /rc/clk?jk=f816b1f77193bf55&fccid=7b1fdbb9bcfeb5a6&vjs=3 
full details of Senior Blockchain Security Researcher, Arbitrary Execution  Inc., Remote, /rc/clk?jk=3bfa4da46478756d&fccid=dd616958bd9ddc12&vjs=3 
full details of Sr. Blockchain Engineer (Ganache), Consensys, Remote in New York  NY 10036, /rc/clk?jk=b655f1c31d51d25a&fccid=c3c98aa2beea188e&vjs=3 
full details of Senior Frontend Engineer, VIMworld, Remote, /rc/clk?jk=950e9a9722366320&fccid=be3a97c318aa51e6&vjs=3 
full details of Senior Frontend Engineer, Steel Perlot, Remote in Los Angeles  CA, /rc/clk?jk=4c0cb2016bc884cd&fccid=c414f3ce8b104e95&vjs=3 
full details of Software Development Engineer in Test, Chainlink Labs, Remote, /rc/clk?jk=a877e2909612e71f&fccid=2f9af8183fc08763&vjs=3 
full details of Software Engineer II -Blockchain-2, Mastercard, Everywhere, /rc/clk?jk=d2fb37493d3f53a8&fccid=10b5c722d846df43&vjs=3 
full details of Senior Software Engineer, Altafin, Lehi  UT, /rc/clk?jk=b2c08dcfbb10756d&fccid=05432fd42db3836a&vjs=3 
full details of Senior Full-Stack Engineer, Cosigned, Remote, /rc/clk?jk=c6a6a4d12df67b0f&fccid=dd616958bd9ddc12&vjs=3 
full details of Software Engineer  Ecosystem, Aptos, Remote in San Francisco  CA 94127, /rc/clk?jk=1b742baf1cabd811&fccid=4edf6f7283dd42ad&vjs=3 
full details of Senior Smart Contract Engineer, NiftyApes, Remote, /rc/clk?jk=0f77dd1eb482df2a&fccid=dd616958bd9ddc12&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q2vvl8HBpxLGs-HcMdQb_4lFEpDrwf-Oxfjjwm_1cr9mPhz8L1F2FUjivGA2MRBXDmglIuQDa24I0hjNBWWs11A0L4JzXJFKQ0_FveaDc70DiBqnV8Ghc2Fh6VjV4kvmxSVTeMoISkUNK5Ghaxbisb15bqtS5NVsoNJtHIQlWvtoZvC6dCWiv9q-P8Rm4nYwmBzWU4bGN1o5nly4wWpXX_yKopMcoP2SH3VdfmEW6H3MdISVuKn_-tYHr8FvjIFjM37LEGW7i1xXnqcVovBiM9imV9htGEtCu-C0C2C6c5JOM=&xkcb=SoBN-_M3ZhMJ75R8a50LbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Golang Developer - Remote, DefiDevs, Remote in Austin  TX 78709, /rc/clk?jk=0babe5f1be3ff582&fccid=dd616958bd9ddc12&vjs=3 
full details of Sr Blockchain Engineer/Blockchain Engineer/Smart Contract En..., VIMworld, Remote, /rc/clk?jk=ade6e85ca466e20e&fccid=be3a97c318aa51e6&vjs=3 
full details of Senior Software Engineer, Recruiting From Scratch, Remote in Ithaca  NY 14850, /rc/clk?jk=b13b29c8159e1e49&fccid=09e02654c2f26bbd&vjs=3 
full details of Blockchain consultants, Kynite, Fargo  ND, /rc/clk?jk=c789d962c3fca97b&fccid=eca5ed2f8828e96b&vjs=3 
full details of Software Engineer  Blockchain Integrations, Chainlink Labs, Remote, /rc/clk?jk=d2ae61ff019bbd2c&fccid=2f9af8183fc08763&vjs=3 
full details of Principal Software Engineer, Consensys, Remote in San Francisco  CA, /rc/clk?jk=e83396ecf7be9546&fccid=c3c98aa2beea188e&vjs=3 
full details of Blockchain Strategist - Staff 2, EY, Everywhere, /rc/clk?jk=8bb5ecd47e2f2465&fccid=1544766d4c2915b0&vjs=3 
full details of Senior Software Engineer  Full Stack, Hang, Remote in California, /rc/clk?jk=b12c89ff702148db&fccid=fd698865141eb904&vjs=3 
full details of Lead Software Engineer in Test (SDET), Axoni, Remote, /rc/clk?jk=52b38285c856900b&fccid=9061f6f95e8bca66&vjs=3 
full details of Engineering Manager / Director of Engineering (f/m/d)- based..., Foxit Software, Remote, /rc/clk?jk=39700b73251c10fd&fccid=951d7c1db6284873&vjs=3 
full details of Backend Engineer  Web3, Fox Corporation, Los Angeles  CA, /rc/clk?jk=5c4a42afc04dd5fa&fccid=61c19e057c54ec35&vjs=3 
full details of Fullstack Web3 Engineer, Azra Games, Remote, /rc/clk?jk=9603e710c7bdd1f5&fccid=f4e7390bb5c27fbc&vjs=3 
full details of Test Automation Engineer (SDET), Nori, Everywhere, /rc/clk?jk=10f7e342ac0e01f4&fccid=b6bef8f5444e724e&vjs=3 
full details of Software Developer Blockchain technologies, AIStrata Technology Solutions, Wilmington  DE 19803, /rc/clk?jk=a4fcd233e2f0bef1&fccid=78fcc6d73a01c2f7&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q2MomCSc1hIXx6pMtx2co--6AjJB521dRMeSPLUVB7xNnVelZV34D2G_lK72mgNnSd-8XsviZ4GKLV1Jwqpb5yNViwgfOtLoUPDAPeQnvR0LA7hQn-Xuf-VR46xEIMzso42iuHft5bxdpBKM2FkOshGceBIuDw0mkAN707s5VUg-ISjcAyvqvDnQBtGTMoGh459QmC4cB5WHESQBlmWH5iLVUZztTmY6vAZ89QjEOyAdebkOQbJVrqCThg0mgHCEDLZb5I8Zj3FX4N_iZbUeaxDNvH7aaZ_VlviSW6WLuOAgQ=&xkcb=SoCH-_M3ZhMJjbAD6j0IbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Blockchain Engineer, Textile, Remote in Oregon, /rc/clk?jk=d0f6986ee44e0650&fccid=59159df225ef80a0&vjs=3 
full details of Engineering Manager  ETH, Rehoboth Associates LLC, Temporarily Remote in United States, /rc/clk?jk=4ee8e9d0d729fdc9&fccid=b81e522314e94048&vjs=3 
full details of VP of Blockchain Engineering - Remote, Coin, Remote in United States, /rc/clk?jk=c51f4106fdda58f7&fccid=99b0b1ff85243594&vjs=3 
full details of Blockchain Protocol Engineer, Mobius Labs, Palo Alto  CA, /rc/clk?jk=29a853bf585803b4&fccid=201993ee8e79bcf8&vjs=3 
full details of Blockchain Research Scientist, Mobius Labs, Palo Alto  CA, /rc/clk?jk=3f89f3f27bef99ba&fccid=201993ee8e79bcf8&vjs=3 
full details of Blockchain/Smart Contracts Engineer for growing startup., Recruiting From Scratch, Remote in New York  NY 10002, /rc/clk?jk=016b38e3d87d5a92&fccid=09e02654c2f26bbd&vjs=3 
full details of Principal Java Engineer  Wallet Blockchain (Solidity), Fidelity Investments, Temporarily Remote in Durham  NC 27709, /rc/clk?jk=9c9813aeb16ab0fc&fccid=deb234f9dd3edcea&vjs=3 
full details of Senior Software Engineer  Product, TBD, San Francisco  CA, /rc/clk?jk=a06698ee278162aa&fccid=072830fb9bef7e7e&vjs=3 
full details of Backend / API Engineer, Textile, Remote in San Francisco  CA, /rc/clk?jk=5774096139dfbc9c&fccid=59159df225ef80a0&vjs=3 
full details of Senior Full-Stack JavaScript Engineer - Tech Consulting, EY, Everywhere, /rc/clk?jk=78388da34fb201fe&fccid=1544766d4c2915b0&vjs=3 
full details of Senior Software Engineer - Full Stack, Fanatics Inc., Remote in New York  NY 10017, /rc/clk?jk=cc56cc558a787a27&fccid=316c778b7bc10b48&vjs=3 
full details of Engineering Manager, Nori, Everywhere, /rc/clk?jk=3dfe5918ccdd9915&fccid=b6bef8f5444e724e&vjs=3 
full details of Sr. Software Engineer, Oasis Labs, Remote in San Francisco  CA, /rc/clk?jk=895986934dfaad2f&fccid=1b381d406b0923a9&vjs=3 
full details of (Senior) Full-Stack Engineer (m/f/d), SMART VALOR, Remote, /rc/clk?jk=acb880f13a055f31&fccid=f5426ce19e46710d&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q26CEEOUWjGat2Qf8k7JztGtZKQdp1ehhq09xRJnFyVVjb1diwDzjNwT0uv9mr4iuDzzcJtvujX9BpcAe_PWkRovQToQ2Yst-dkKCJo39KsNgeVGssd1OS_By0L6mAQteXah1CTNAI1ryg5qBWmZM9qIr4wKi7hV-JM2Z9B6HX7_adM-hzBt8Vvu9-Dt_sufRkpjh7jkruBzTzW5Vg02-LwfOCQ2mnRbrrbAqOGHBUPoolREl3aK9LWuA4tuc9cj8cDmCt7QbmhuHmCoIlG99N7GHIW9vRctDhRtygik6wEsc=&xkcb=SoDE-_M3ZhMJrA2bbR0LbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Senior Blockchain Developer (Crypto/ FinTech/ Real Estate), HoneyBricks, Remote, /rc/clk?jk=75370ee7250b1c28&fccid=ec126c4d82b18830&vjs=3 
full details of Senior Cybersecurity Engineer, HSBC, San Francisco  CA, /rc/clk?jk=b0feaf7ce43cbe88&fccid=04c9b139c84ea1b5&vjs=3 
full details of Software Engineer  Scala, Axoni, Remote, /rc/clk?jk=b3db5fbe8657b17c&fccid=9061f6f95e8bca66&vjs=3 
full details of Senior Software Engineer  Economics, Chainlink Labs, Remote, /rc/clk?jk=92651c0c38018c6c&fccid=2f9af8183fc08763&vjs=3 
full details of Fullstack Engineer, Syndicate, Remote, /rc/clk?jk=2235af6b71524c73&fccid=1fddf4571778c765&vjs=3 
full details of Founding Blockchain Engineer, OpenPool, Remote, /rc/clk?jk=952989624b0ed117&fccid=1fce52a90fd5ef8f&vjs=3 
full details of Full Stack Developer, Panther Protocol, Remote, /rc/clk?jk=ebc3d3593ef67a53&fccid=a3855aca680e99ff&vjs=3 
full details of Software Engineering Manager - Blockchain - Tech Consulting..., EY, Everywhere, /rc/clk?jk=9b8ea1e442ca3ff9&fccid=1544766d4c2915b0&vjs=3 
full details of Security Architect - Blockchain (Remote), Fidelity Investments, Temporarily Remote in Merrimack  NH 03054, /rc/clk?jk=ce6e30c775006348&fccid=deb234f9dd3edcea&vjs=3 
full details of Senior Blockchain Engineer, Paradigm, Remote in San Jose  CA, /rc/clk?jk=abf3e174a0c3e1dc&fccid=756b56d5afcb7d62&vjs=3 
full details of DLT Senior Engineer, Citi, New York  NY, /rc/clk?jk=6bd99f12b0114bb4&fccid=5bcd1ef0a7f4fb99&vjs=3 
full details of Senior Backend Developer, NiftyApes, Remote, /rc/clk?jk=b423697930cc9920&fccid=dd616958bd9ddc12&vjs=3 
full details of Lead Backend Engineer, GIANT Protocol, Remote in San Francisco  CA, /rc/clk?jk=886fa298b634dcbc&fccid=dd616958bd9ddc12&vjs=3 
full details of Senior Software Engineer  Frontend, Sorare, New York  NY, /rc/clk?jk=0a1236369d01542d&fccid=5ce6d9ea47ab4b2d&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q26sgdA_znP6QKLXWakcswK0VTqT23rP6Qhto5bMsjXICsp0YyYT8WXAW6qcMB7IQlPos3r7DbD26ZPQ-kgq6zjUNais6B1Nkx4KZ6_e2IlrJ32qoJ7NKb5s1yxWCnRCM_uCgr4xIjxHvjqjvFjE9HAt6YdNxsJgrQ8EDk0yz0DhgX0zy4nIPV8NLqnmQQazN352Aq84huvFGERhTcFnHZJLp3qfINXOdvljyVnSPdBN8A-9BsbDHTy8jET3MXOOjK_nyzLHfeVolHl2IJVt_NFTGqHBAfww8lzeInN4LMKwg=&xkcb=SoAL-_M3ZhMJTMAJXT0LbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Blockchain Developer, Panther Protocol, Remote, /rc/clk?jk=952522348b81b1f5&fccid=a3855aca680e99ff&vjs=3 
full details of Lead Software Engineer, Mastercard, Everywhere, /rc/clk?jk=afcf605f04bfca7e&fccid=10b5c722d846df43&vjs=3 
full details of Senior Java Engineer  Wallet Blockchain, Fidelity Investments, Temporarily Remote in Durham  NC 27709, /rc/clk?jk=b339d3ec0dd0fe4a&fccid=deb234f9dd3edcea&vjs=3 
full details of Mid-to-Senior Frontend Engineer, NiftyApes, Remote, /rc/clk?jk=d51b265f6a2772e4&fccid=dd616958bd9ddc12&vjs=3 
full details of Engineer, Compound Labs, Continental  OH, /rc/clk?jk=e0f0c550fa650177&fccid=4000f6a8d62b1773&vjs=3 
full details of Senior Frontend Engineer, Compound Labs, Continental  OH, /rc/clk?jk=dd5b5f26fb224bcf&fccid=4000f6a8d62b1773&vjs=3 
full details of Senior Software Engineer – Experian R&D Data Lab (OPEN TO 10..., Experian, Remote in San Diego  CA 92130, /rc/clk?jk=1fd95984b95669bc&fccid=75a3a5a15b202084&vjs=3 
full details of Sr. Software Engineer  Full Stack Web3 Engineering, Experfy Inc, Remote, /rc/clk?jk=397985afdd95214d&fccid=19327ae379f6e1a2&vjs=3 
full details of Senior Software Engineer  Ruby on Rails, Sorare, New York  NY, /rc/clk?jk=a19908e366a4f75e&fccid=5ce6d9ea47ab4b2d&vjs=3 
full details of Senior Lead Blockchain Engineer, Prudential, Everywhere, /rc/clk?jk=3e430c68bd48fa7a&fccid=4144c0c6235e4037&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q2PFEaFMMt7K0qe7vm8LJc__UbXazMCO_Y2VqdTR2HM5JJ5yL7dezMl6UKq4buPIkQ3qOQI5-SVE6I2wIObWffbHxy0KOb7e66uZCUJdPr8_ZF3kbc-Vdzd6395ywZq29XW8-oN-zf-vxsI50AtuXTlIIli1Xvh2AG5Qt87L-HXaELpsfucJvXzdp5U3aVJw9GLSWic1XgezxUBM3GE8jPdGsO_aZijO34BY5_iwH60SHaYP2ZN4MZyTKmncX9I05B-6Zumc4hNKRpMEPgBM-WYbCnwkmQiPaz9oYvUx_X2F8=&xkcb=SoD1-_M3ZhMJZ6RcFB0KbzkdCdPP&p=9&fvj=1&vjs=3 
full details of Senior Backend Developer, NiftyApes, Remote, /rc/clk?jk=b423697930cc9920&fccid=dd616958bd9ddc12&vjs=3 
full details of Lead Backend Engineer, GIANT Protocol, Remote in San Francisco  CA, /rc/clk?jk=886fa298b634dcbc&fccid=dd616958bd9ddc12&vjs=3 
full details of Blockchain Developer, Panther Protocol, Remote, /rc/clk?jk=952522348b81b1f5&fccid=a3855aca680e99ff&vjs=3 
full details of Senior Software Engineer  Frontend, Sorare, New York  NY, /rc/clk?jk=0a1236369d01542d&fccid=5ce6d9ea47ab4b2d&vjs=3 
full details of Senior Java developer, JPMorgan Chase Bank  N.A., Jersey City  NJ, /rc/clk?jk=f7efba9ef398623c&fccid=aaf3b433897ea465&vjs=3 
full details of Lead Software Engineer, Mastercard, Everywhere, /rc/clk?jk=afcf605f04bfca7e&fccid=10b5c722d846df43&vjs=3 
full details of Senior Java Engineer  Wallet Blockchain, Fidelity Investments, Temporarily Remote in Durham  NC 27709, /rc/clk?jk=b339d3ec0dd0fe4a&fccid=deb234f9dd3edcea&vjs=3 
full details of Mid-to-Senior Frontend Engineer, NiftyApes, Remote, /rc/clk?jk=d51b265f6a2772e4&fccid=dd616958bd9ddc12&vjs=3 
full details of Engineer, Compound Labs, Continental  OH, /rc/clk?jk=e0f0c550fa650177&fccid=4000f6a8d62b1773&vjs=3 
full details of Senior Frontend Engineer, Compound Labs, Continental  OH, /rc/clk?jk=dd5b5f26fb224bcf&fccid=4000f6a8d62b1773&vjs=3 
full details of Senior Software Engineer – Experian R&D Data Lab (OPEN TO 10..., Experian, Remote in San Diego  CA 92130, /rc/clk?jk=1fd95984b95669bc&fccid=75a3a5a15b202084&vjs=3 
full details of Sr. Software Engineer  Full Stack Web3 Engineering, Experfy Inc, Remote, /rc/clk?jk=397985afdd95214d&fccid=19327ae379f6e1a2&vjs=3 
full details of Senior Lead Blockchain Engineer, Prudential, Everywhere, /rc/clk?jk=3e430c68bd48fa7a&fccid=4144c0c6235e4037&vjs=3 
full details of Solidity Developer, Delta Hire, Remote, /pagead/clk?mo=r&ad=-6NYlbfkN0DzMqPHtizq4B_gJtT1ZvavnvoAyHFKLcaphdD20X80-zmjuv1rDuV8jz1T6Ux9T_uz2Xn3L8l8we7_WXYcMtnVzM0mZfs4JD8BLuugvtfLFr3YWRUN9EVydM2HbToQNtS-OdPBguBHrNqAFeroPcLYJWGUep4HWQriNJldWGzgZaWTVg4JN1q2Bbl-RB_JbNA8KCQ-feby8QkGL2MrGy4wVlXxQQ6xARaW_SYlEmaQoOzx_np2xqwAwXH7MCqPoiwPYyUr-ZE8W34M7MHgOGuc_1nEKutwl1iufE75zlXn3I5Fnwl_WJ0oe4TTPJ-MU8YmmrGyHxiCd5ko3J4JedXrsHB2wpsKeArmvEj90PFmAh4ikYqbmx66UrSpd0TrPRAGQTQMfUL1X88UycPiAUsYnonCL-yEKotdolHcoX5YXcbagXLH52u2O_nn1BxxVtPB5S2E9gXyjQRbMHTmGJa0iQ5Jp4lMSMQ=&xkcb=SoC7-_M3ZhMJBAwSHZ0IbzkdCdPP&p=13&fvj=1&vjs=3 
full details of Senior Software Engineer  Ruby on Rails, Sorare, New York  NY, /rc/clk?jk=a19908e366a4f75e&fccid=5ce6d9ea47ab4b2d&vjs=3 
